ID;CTL
1;AG(AWVALID & !AWREADY) -> stable(AWID))
2;AG(AWVALID -> (AWID != X))
3;AG(AWVALID & !AWREADY -> stable(AWADDR))
4;AG(AWVALID  -> (AWADDR != X))
5;AG(AWVALID & !AWREADY -> stable(AWLEN))
6;AG((A) -> !X(!B))
7;AG(!reset -> (AWVALID != X))
8;AF(ARESETn -> AX(! AWVALID))
9;AG(AWVALID -> (E(! AWREADY U AWREADY)))
10;AG(!(CSYSACK) -> !((CSYSREQ) & X(!CSYSREQ)))
11;AG(!reset -> (ACREADY != X))
12;AG(!reset -> (ARCACHE[1] != X))
13;AG(ARDOMAIN >= 1)
14;AG(AWPROT <= 1)
15;AG(!reset -> (AWSNOOP != X))
16;AG(ACADDR -> AWREADY)
17;AG(AWREADY -> X(! ACADDR))
18;AG(AWSNOOP -> X(! ARCACHE[3:2]))
19;AG(AWREADY -> AF(ACADDR & (AX(!ACADDR) U AX(ACADDR))))
20;AG(ARESETn -> AX(ACVALID != X))
21;AG((ARPOOT & !ACSNOOP) -> (!AWSIZE))
22;AG((ARPOOT & !ACSNOOP) -> stable(ACADDR))
23;AG((ACADDR & !ARESETn & AWPROT) -> AX(ARESETn))
24;AG(AWSNOOP -> (stable(AWSNOOP) U ARDOMAIN))
25;AG((!CSYSACK & X(CSYSACK)) -> AF(CSYSREQ))
26;AG((AWVALID & AWCACHE > 1 & !AWREADY) -> stable(AWPROT))
27;AG((AWID & !AWCACHE) -> (AWCACHE != X))
28;AG((AWID & !AWVALID) -> (AWCACHE != X))
29;AG((b -> AX((c U a) | AG(c))))
30;EG(b) -> A(!b U (a & !b))
31;AG((a | b | c))
32;EG(!down)
33;AG(!down)
34;AG(EF(startNew))
35;AG((A(operational U down)) & AF(down))
36;AG(!at(i) -> !doorOpen(i))
37;AG(button(i) -> (request(i) W fulfilled(i)))
38;AG(moving -> E(request(i)))
39;AG(request(i) -> AF(fulfilled(i)))
40;AG(button(i) -> F(fulfilled(i)))
41;AF(at(0))
42;A (button(n-1) -> (!at(i) U at(n-1)))
43;AG(!deadlock)
44;EF(p)
45;AG(p -> Xr)
46;(!p) U (p & XG(!p))
47;F(p) -> ((!r) W G(!p))
48;(F p & F r) -> ((!p) U G(!r))
49;AG(IsThisSideActive -> (ModeAnnunciationsOn <-> (OnsideFDOn | OffsideFDOn | IsAPEngaged)))
